"id","name","unit","fill_value","display_name","standard_name","parameter_precision","parameter_function_id","parameter_function_map","data_product_identifier","description","data_level","data_product_type"
"1309","m_dr_x_ini_err","m","-9999999","Surface Drift Initial Error X",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1310","m_dr_x_postfix_drift","m","-9999999","Surface Drift Postfix X",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1311","m_dr_x_ta_postfix_drift","m","-9999999","Surface Drift TA Postfix X",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1312","m_dr_y_actual_err","m","-9999999","Surface Drift Actual Error Y",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1313","m_dr_y_ini_err","m","-9999999","Surface Drift Initial Error Y",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1314","m_dr_y_postfix_drift","m","-9999999","Surface Drift Postfix Y",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1315","m_dr_y_ta_postfix_drift","m","-9999999","Surface Drift TA Postfix Y",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1316","m_est_time_to_surface","s","-9999999","Estimate Time to Surface",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1317","m_fin","rad","-9999999","Measured Fin Angle",NULL,"4",NULL,NULL,NULL,"Measured fin angle in Radians.",NULL,NULL
"1318","m_final_water_vx","m s-1","-9999999","Final Water VX",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1319","m_final_water_vy","m s-1","-9999999","Final Water VY",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1320","m_fin_vel","rad s-1","-9999999","Measured Motor Velocity",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1321","m_fluid_pumped","mL","-9999999","Fluid Pumped",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1322","m_fluid_pumped_aft_hall_voltage","V","-9999999","Voltage From Aft Hall Sensor",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1323","m_fluid_pumped_fwd_hall_voltage","V","-9999999","Voltage From Forward Hall Sensor",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1324","m_fluid_pumped_vel","mL s-1","-9999999","Measured Fluid Pumped Velocity",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1325","m_free_heap","bytes","-9999999","Free Heap",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1326","m_gps_dist_from_dr","m","-9999999","Distance From Dead Reckoned Position",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1327","m_gps_fix_x_lmc","m","-9999999","GPS Fix X LMC",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1328","m_gps_fix_y_lmc","m","-9999999","GPS Fix Y LMC",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1329","m_gps_full_status","1","-99","GPS Full Status",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1330","m_gps_heading","rad","-9999999","GPS Heading",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1331","m_gps_ignored_lat","degrees","-9999999","GPS Ignored Latitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1332","m_gps_ignored_lon","degrees","-9999999","GPS Ignored Longitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1333","m_gps_invalid_lat","degrees","-9999999","GPS Invalid Latitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1334","m_gps_invalid_lon","degrees","-9999999","GPS Invalid Longitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1335","m_gps_lat","degree_north","-9999999","Measured GPS Latitude","latitude","4",NULL,NULL,NULL,"Measured GPS latitude in decimal degrees",NULL,NULL
"1336","m_gps_lon","degree_east","-9999999","Measured GPS Longitude","longitude","4",NULL,NULL,NULL,"Measured GPS longitude in decimal degrees",NULL,NULL
"1337","m_gps_mag_var","rad","-9999999","GPS Mag Var",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1338","m_gps_num_satellites","1","-9999999","GPS Number of Satellites",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1339","m_gps_on","1","-99","GPS On",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1340","m_gps_postfix_x_lmc","m","-9999999","GPS Postfix X Imc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1341","m_gps_postfix_y_lmc","m","-9999999","GPS Postfix Y Imc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1342","m_gps_speed","m s-1","-9999999","GPS Speed",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1343","m_gps_status","1","-99","GPS Status",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1344","m_gps_toofar_lat","degrees","-9999999","GPS Too Far Latitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1345","m_gps_toofar_lon","degrees","-9999999","GPS Too Far Longitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1346","m_gps_uncertainty","1","-9999999","GPS Uncertainty",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1347","m_gps_utc_day","bytes","-99","GPS UTC Day",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1348","m_gps_utc_hour","bytes","-99","GPS UTC Hour",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1349","m_gps_utc_minute","bytes","-99","GPS UTC Minute",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1350","m_gps_utc_month","bytes","-99","GPS UTC Month",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1351","m_gps_utc_second","1","-9999999","GPS UTC Second",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1352","m_gps_utc_year","bytes","-99","GPS UTC Year",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1353","m_gps_x_lmc","m","-9999999","GPS X Lmc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1354","m_gps_y_lmc","m","-9999999","GPS Y Lmc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1355","m_hdg_derror","rad s-1","-9999999","HDG Delt Error",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1356","m_hdg_error","rad","-9999999","HDG Error",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1357","m_hdg_ierror","rad-sec","-9999999","HDG Integrated Error",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1358","m_hdg_rate","rad s-1","-9999999","HDG Rate",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1359","m_heading","rad","-9999999","Measured Heading",NULL,"4",NULL,NULL,NULL,"Measured heading in radians.",NULL,NULL
"1360","m_initial_water_vx","m s-1","-9999999","Initial Water VX",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1361","m_initial_water_vy","m s-1","-9999999","Initial Water VY",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1362","m_iridium_attempt_num","1","-9999999","Iridium Attempt Num",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1363","m_iridium_call_num","1","-9999999","Iridium Call Num",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1364","m_iridium_connected","1","-99","Iridium Connected",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1365","m_iridium_console_on","1","-99","Iridium Console On",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1366","m_iridium_dialed_num","1","-9999999","Iridium Dialed Num",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1367","m_iridium_on","1","-99","Iridium On",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1368","m_iridium_redials","1","-9999999","Iridium Redials",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1369","m_iridium_signal_strength","1","-9999999","Iridium Signal Strength",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1370","m_iridium_status","1","-99","Iridium Status",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1371","m_iridium_waiting_redial_delay","1","-99","Iridium Waiting RedialDelay",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1372","m_iridium_waiting_registration","1","-99","Iridium Waiting Registration",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1373","m_is_ballast_pump_moving","1","-99","Is Ballast Pump Moving",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1374","m_is_battpos_moving","1","-99","Is Battpos Moving",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1375","m_is_battroll_moving","1","-99","Is Battroll Moving",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1376","m_is_de_pump_moving","1","-99","Is De Pump Moving",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1377","m_is_fin_moving","1","-99","Is Fin Moving",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1378","m_is_fpitch_pump_moving","1","-99","Is Fpitch Pump Moving",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1379","m_is_speed_estimated","1","-99","Is Speed Estimated",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1380","m_is_thermal_valve_moving","1","-99","Is Thermal Value Moving",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1381","m_last_yo_time","s","-9999999","Last Yo Time",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1382","m_lat","degrees","-9999999","Derived Latitude",NULL,"4",NULL,NULL,NULL,"Derived latitude in decimal degrees. Derived from dead-reckoning while underwater.",NULL,NULL
"1383","m_leak","1","-99","Leak",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1384","m_leakdetect_voltage","V","-9999999","Leak Detect Voltage",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1385","m_leakdetect_voltage_forward","V","-9999999","Leak Detect Voltage Forward",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1386","m_leak_forward","1","-99","Leak Forward",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1387","m_lithium_battery_relative_charge","%","-9999999","Lithium Battery Relative Charge, %",NULL,"4",NULL,NULL,NULL,"Relative cumulative charge",NULL,NULL
"1388","m_lithium_battery_status","1","-9999999","Lithium Battery Status",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1389","m_lithium_battery_time_to_charge","min","-9999999","Lithium Battery Time to Charge",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1390","m_lithium_battery_time_to_discharge","min","-9999999","Lithium Battery Time to Discharge",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1391","m_lon","degrees","-9999999","Derived Longitude",NULL,"4",NULL,NULL,NULL,"Derived longitude in decimal degrees. Derived from dead-reckoning while underwater.",NULL,NULL
"1392","m_min_free_heap","bytes","-9999999","Minimun Free Heap",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1393","m_min_spare_heap","bytes","-9999999","Minimun Spare Heap",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1394","m_mission_avg_speed_climbing","m s-1","-9999999","Mission Avgerage Speed Climbing",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1395","m_mission_avg_speed_diving","m s-1","-9999999","Mission Avgerage Speed Diving",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1396","m_mission_start_time","seconds since 1970-01-01","-9999999","Mission Start Time, UTC",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1397","m_num_half_yos_in_segment","1","-9999999","Number of Half YOS in Segment",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1398","m_pitch","rad","-9999999","Measured Pitch",NULL,"4",NULL,NULL,NULL,"The measured pitch of the glider in radians. >0 is nose up.",NULL,NULL
"1399","m_pitch_energy","J","-9999999","Pitch Energy",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1400","m_pitch_error","rad","-9999999","Pitch Error",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1401","m_present_secs_into_mission","s","-9999999","Elapsed Mission Time",NULL,"4",NULL,NULL,NULL,"Secs since mission started",NULL,NULL
"1402","m_present_time","seconds since 1970-01-01","-9999999","Time at the Start of the Cycle",NULL,"4",NULL,NULL,NULL,"Secs since 1970 @ start of cycle",NULL,NULL
"1403","m_pressure","bar","-9999999","Seawater Pressure",NULL,"4",NULL,NULL,NULL,"Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. Units: bar",NULL,NULL
"1404","m_pressure_raw_voltage_sample0","V","-9999999","Pressure Raw Voltage Sample 0",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1405","m_pressure_raw_voltage_sample19","V","-9999999","Pressure Raw Voltage Sample19",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1406","m_pressure_voltage","V","-9999999","Pressure Voltage",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1407","m_raw_altitude","m","-9999999","Raw Altitude",NULL,"4",NULL,NULL,NULL,"Height above bottom, unfiltered",NULL,NULL
"1408","m_raw_altitude_rejected","1","-99","Raw Altitude Rejected",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1409","m_roll","rad","-9999999","Roll",NULL,"4",NULL,NULL,NULL,"Glider roll in radians,  >0 is port wing up",NULL,NULL
"1410","m_science_clothesline_lag","s","-9999999","Science Clothesline Lag",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1411","m_science_on","1","-99","Science On",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1412","m_science_ready_for_consci","1","-99","Clothesline Ready for Consci",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1413","m_science_sent_some_data","1","-9999999","Science Sent Some Data",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1414","m_science_sync_time","seconds since 1970-01-01","-9999999","Science Sync Time, UTC",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1415","m_science_unreadiness_for_consci","1","-99","Science Unreadiness for Consci",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1416","m_spare_heap","bytes","-9999999","Spare Heap",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1417","m_speed","m s-1","-9999999","Measured Speed",NULL,"4",NULL,NULL,NULL,"Measured speed in m/s.",NULL,NULL
"1418","m_stable_comms","1","-99","Commands Are Stable",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1419","m_strobe_ctrl","1","-99","Strobe Light",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1420","m_surface_est_cmd","1","-9999999","Commanded to Surface",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1421","m_surface_est_ctd","1","-9999999","Ctd Pressure",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1422","m_surface_est_fw","1","-9999999","FreewaveHas Carrier",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1423","m_surface_est_gps","1","-9999999","GPS Talking to Satellite",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1424","m_surface_est_irid","1","-9999999","Iridium Has Carrier",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1425","m_surface_est_total","1","-9999999","Sum of Surface Estimate",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1426","m_system_clock_lags_gps","s","-9999999","System Clock Lags GPS",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1427","m_tcm3_is_calibrated","1","-99","Compass Calibration Status Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1428","m_tcm3_magbearth","uT","-9999999","Earth's Magnetic Field",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1429","m_tcm3_poll_time","ms","-9999999","TCM3 Poll Time",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1430","m_tcm3_recv_start_time","ms","-9999999","TCM3 Recv Start Time",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1431","m_tcm3_recv_stop_time","ms","-9999999","TCM3 Recv Stop Time",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1432","m_tcm3_stddeverr","uT","-9999999","TCM3 Standard Deviation Error",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1433","m_tcm3_xcoverage","%","-9999999","TCM3 X Coverage, %",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1434","m_tcm3_ycoverage","%","-9999999","TCM3 Y Coverage, %",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1435","m_tcm3_zcoverage","%","-9999999","TCM3 Z Coverage, %",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1436","m_thermal_acc_pres","bar","-9999999","Thermal Acc Pressure",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1437","m_thermal_acc_pres_voltage","V","-9999999","Thermal Acc Pressure Voltage",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1438","m_thermal_acc_vol","mL","-9999999","Thermal Acc Volume",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1439","m_thermal_enuf_acc_vol","1","-99","Thermal Enuf Acc Volume",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1440","m_thermal_pump","1","-99","Thermal Pump",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1441","m_thermal_updown","1","-99","Thermal Up/Down",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1442","m_thermal_valve","1","-99","Thermal Valve",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1443","m_time_til_wpt","s","-9999999","Time Til WPT",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1444","m_tot_ballast_pumped_energy","kJ","-9999999","Ballast Pumped Energy",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1445","m_tot_horz_dist","km","-9999999","Horizontal DIstance",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1446","m_tot_num_inflections","1","-9999999","Number of Inflections",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1447","m_tot_on_time","d","-9999999","Powered on Time",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1448","m_vacuum","inHg","-9999999","Vacuum",NULL,"4",NULL,NULL,NULL,"Internal glider pressure in Hg",NULL,NULL
"1449","m_vehicle_temp","deg_C","-9999999","Vehicle Temperature",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1450","m_veh_overheat","1","-99","Vehicle Over Heat",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1451","m_veh_temp","deg_C","-9999999","Veh Temperture",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1452","m_vmg_to_wpt","m s-1","-9999999","VMG to WPT",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1453","m_vx_lmc","m s-1","-9999999","VX Lmc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1454","m_vy_lmc","m s-1","-9999999","VY Lmc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1455","m_water_cond","S m-1","-9999999","Seawater Conductivity",NULL,"4",NULL,NULL,NULL,"Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater. Units: S m-1",NULL,NULL
"1456","m_water_delta_vx","m s-1","-9999999","Water Delta VX",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1457","m_water_delta_vy","m s-1","-9999999","Water Delta VY",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1458","m_water_depth","m","-9999999","Seawater Depth",NULL,"4",NULL,NULL,NULL,"Measured depth (m_depth) + measured altitude (m_altitude). -1 == unknown.",NULL,NULL
"1459","m_water_pressure","bar","-9999999","Seawater Pressure",NULL,"4",NULL,NULL,NULL,"Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. Units: bar",NULL,NULL
"1460","m_water_temp","deg_C","-9999999","Seawater Temperature",NULL,"4",NULL,NULL,NULL,"Seawater temperature near the sensor. Units: degrees Celsius",NULL,NULL
"1461","m_water_vx","m s-1","-9999999","Seawater Velocity - X Component",NULL,"4",NULL,NULL,NULL,"Measured water velocity: X component in m/s. LMC coordinate system.",NULL,NULL
"1462","m_water_vy","m s-1","-9999999","Seawater Velocity - Y Component",NULL,"4",NULL,NULL,NULL,"Measured water velocity: Y component in m/s. LMC coordinate system.",NULL,NULL
"1463","m_why_started","1","-99","How GliderDos Started",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1464","m_x_lmc","m","-9999999","X Lmc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1465","m_y_lmc","m","-9999999","Y Lmc",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1466","x_last_wpt_lat","degrees","-9999999","X Last WPT Latitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1467","x_last_wpt_lon","degrees","-9999999","X Last WPT Longitude",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1468","x_system_clock_adjusted","s","-9999999","System Clock Adjusted",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1469","sci_bsipar_is_installed","1","-99","Bsipar Is Installed",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1470","sci_bsipar_par","umol photons m-2 s-1","-9999999","Photosynthetically Active Radiation","downwelling_photosynthetic_photon_flux_in_sea_water","4",NULL,NULL,"OPTPARW_L0","Unscaled Photosynthetically Active Radiation (PAR) is the measure of the density of photons per unit area that are in the spectral range of light (400-700 nanometers) that primary producers use for photosynthesis. Units: µmol photons m-2 s-1","0","Science Data"
"1471","sci_bsipar_sensor_volts","V","-9999999","PAR Sensor Voltage",NULL,"4",NULL,NULL,"OPTPARW_L0","Photosynthetically Active Radiation (PAR) unprocessed sensor reading. Units: Volts","0","Unprocessed Data"
"1472","sci_bsipar_supply_volts","V","-9999999","Bsipar Supply Volts",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1473","sci_bsipar_temp","deg_C","-9999999","PAR Sensor Temperature",NULL,"4",NULL,NULL,NULL,"Temperature recorded by the glider Biospherical PAR sensor. Units: degrees Celsius",NULL,NULL
"1474","sci_bsipar_timestamp","seconds since 1970-01-01","-9999999","Bsipar Timestamp",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1475","sci_ctd41cp_is_installed","1","-99","Ctd41cp Is Installed",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1476","sci_ctd41cp_timestamp","seconds since 1970-01-01","-9999999","Ctd41cp Timestamp",NULL,"4",NULL,NULL,NULL,"CTD41CP Timestamp in seconds since January 01, 1970. UTC",NULL,NULL
"1477","sci_flbbcd_bb_ref","1","-9999999","FLBBCD BB Ref",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1478","sci_flbbcd_bb_sig","1","-9999999","FLBBCD BB Sig",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1479","sci_flbbcd_bb_units","m-1 sr-1","-9999999","Total Volume Scattering Coefficient",NULL,"4",NULL,NULL,"FLUBSCT_L1","Total Volume Scattering Coefficient values represent the volume scattering from particles and the molecular scattering from water at a given wavelength of light and the default angle of 117 degrees for the ECO meter. Units: m-1 sr-1","1",NULL
"1480","sci_flbbcd_cdom_ref","1","-9999999","Thermistor Temperature Counts",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1481","sci_flbbcd_cdom_sig","1","-9999999","FLBBCD CDOM Sig",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1482","sci_flbbcd_cdom_units","ppb","-9999999","CDOM Concentration",NULL,"4",NULL,NULL,"CDOMFLO_L1","Fluorometric CDOM Concentration is a measure of how much light has been re-emitted (fluoresced) from colored organic compounds found in the colored dissolved organic matter (CDOM) in seawater. Examples of CDOM include tannins (polyphenols that bind to proteins and other large molecules) or lignins (polymers of phenolic acids) from decaying plant material and byproducts from the decomposition of animals. It accounts for the tea-like color in seawater. CDOM is not particulate, but seawater can contain both CDOM and turbidity. Units: ppb","1","Science Data"
"1483","sci_flbbcd_chlor_ref","1","-9999999","FLBBCD Chlorophyll Ref",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1484","sci_flbbcd_chlor_sig","1","-9999999","FLBBCD Chlorophyll Sig",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1485","sci_flbbcd_chlor_units","ug L-1","-9999999","Chlorophyll-a Concentration","mass_concentration_of_chlorophyll_a_in_sea_water","4",NULL,NULL,"CHLAFLO_L1","Fluorometric Chlorophyll-a Concentration is an estimate of phytoplankton biomass using fluorescence. The fluorometer emits light at a specific wavelength that is absorbed by chlorophyll and re-emitted as light at a different wavelength. By measuring the intensity of the re-emitted wavelength of light the chlorophyll-a concentration in the surrounding seawater can be estimated. Chlorophyll-a concentrations can be used as a proxy for phytoplankton biomass as it is a dominant photosynthetic pigment. Units: µg L-1","1","Science Data"
"1486","sci_flbbcd_is_installed","1","-99","FLORD/FLORT Is Installed",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1487","sci_flbbcd_therm","1","-9999999","FLBBCD Therm",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1488","sci_flbbcd_timestamp","seconds since 1970-01-01","-9999999","FLBBCD Timestamp",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1489","sci_m_disk_free","Mbytes","-9999999","Disk Space Currently Free on Science",NULL,"4",NULL,NULL,NULL,"How much disk space is currently free on science in Mbytes.",NULL,NULL
"1490","sci_m_disk_usage","Mbytes","-9999999","Disk Space Currently Used on Science",NULL,"4",NULL,NULL,NULL,"How much disk space is currently used on science in Mbytes.",NULL,NULL
"1491","sci_m_free_heap","bytes","-9999999","Free Heap",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1492","sci_m_min_free_heap","bytes","-9999999","Free Heap - Minimum",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1493","sci_m_min_spare_heap","bytes","-9999999","Sci M Min Spare Heap",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1494","sci_m_present_secs_into_mission","s","-9999999","Elapsed Mission Time Based on Science Derived Start Times",NULL,"4",NULL,NULL,NULL,"Secs since mission started. Based on Science derived start time.",NULL,NULL
"1495","sci_m_present_time","seconds since 1970-01-01","-9999999","Science Derived Time at the Start of the CycleC",NULL,"4",NULL,NULL,NULL,"Written by science on every cycle their notion of time, secs since 1970",NULL,NULL
"1496","sci_m_science_on","1","-99","Sci M Science On",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"1497","sci_m_spare_heap","bytes","-9999999","Sci M Spare Heap",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1498","sci_oxy3835_wphase_bamp","1","-9999999","Sci Oxy3835 Wphase Bamp",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1499","sci_oxy3835_wphase_bphase","1","-9999999","Sci Oxy3835 Wphase Bphase",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"1500","sci_oxy3835_wphase_bpot","1","-9999999","Sci Oxy3835 Wphase Bpot",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
